"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bhutan","BTN","Net migration","SM.POP.NETM","1489","1594","2098","2098","2198","2303","2403","2495","2597","2700","2700","2700","2700","2700","2700","2700","2700","2700","2700","2495","2303","2098","1898","1898","1790","1696","1594","1489","1294","1189","-996","-9000","-62997","-14002","-9996","-1497","-1998","-1994","492","5728","6069","5998","6015","6081","5595","1779","-958","-1256","-1399","-1274","-1190","-941","-725","-730","-870","-1171","-521","291","291","291","291","291","300","300",
"Botswana","BWA","Net migration","SM.POP.NETM","-4329","-4162","-4026","-3998","-4123","-14195","-14483","-14700","-14874","-14995","-12728","-3088","6914","10892","11307","11741","12202","12631","12920","12991","12064","8632","2402","2387","2805","3298","3755","4088","4231","4219","4144","4166","7113","7343","7567","7808","7999","8146","8203","8177","7970","7418","4964","4758","4758","4771","4798","4834","4820","4349","3562","1301","488","471","1138","2145","3129","3761","3819","2933","1816","1816","3000","3000",
"Central African Republic","CAF","Net migration","SM.POP.NETM","485","485","485","485","485","485","485","485","485","-88","-3689","-7265","-9641","-9802","-9842","-9904","-33639","-35773","-37880","-39849","-41537","-42866","-43912","-44785","-45593","-46428","-47332","-47430","-31020","414","2000","4386","9273","9935","9495","-12995","2701","2033","4484","6280","8082","-33004","5996","-18097","-16514","-13609","-41307","-30374","-29004","-28917","-43189","-86451","-112033","-112663","-174543","-63213","-52758","-58734","-53083","-36942","-24803","-85860","-17463","-14716",
"Canada","CAN","Net migration","SM.POP.NETM","44527","24186","26210","40913","58965","103588","135984","124220","103269","85859","295787","196732","75864","110894","143497","130169","93918","53941","38018","65954","101270","89387","64523","33942","24433","39796","94389","141697","207777","223071","145270","127381","123633","129514","132870","137472","150516","140171","126335","143541","201617","224357","206028","182430","193282","204710","202483","210817","237962","240878","227724","228828","245309","242475","195649","232738","320494","361274","417974","391914","195181","195181","248586","249746",
"Central Europe and the Baltics","CEB","Net migration","SM.POP.NETM","-20932","-2870","-14426","-29734","-28005","-22949","-24363","-186163","-154155","-66363","-72065","18205","36815","64932","35563","35146","51679","-52929","-75799","-41572","-47120","-48190","-47504","-33056","-58382","-62594","-98400","-105635","-192123","-134319","-132482","-164550","-226160","-146897","-147465","-229798","-211511","-227398","-226121","-202829","123701","-162378","-164421","-142746","-140237","-167658","-181600","-167129","-163098","-114334","-129981","-107546","-69859","-101267","-88917","-99535","-110911","-76183","-61261","-19843","-29918","-20678","5316792","-1438382",
"Switzerland","CHE","Net migration","SM.POP.NETM","22356","101265","82788","58568","21798","-1040","15252","27789","25724","20746","-18454","2310","19443","7986","1724","-58461","-54583","-22798","-6720","4068","17242","24245","21668","5457","12108","14005","22923","26589","34171","34078","58538","69110","41548","40015","29901","24956","-361","-2284","10962","25428","24066","35173","48658","41871","38681","32421","36928","71939","94153","69106","75604","66975","67464","83892","77880","71488","70637","45208","40899","43546","53786","23872","39998","39998",
"Channel Islands","CHI","Net migration","SM.POP.NETM","791","763","634","782","683","833","880","869","971","864","896","1011","1024","977","912","852","426","215","150","184","108","923","1165","1203","1046","1135","1194","1142","1103","963","864","177","-262","-149","-389","-375","183","261","186","167","60","731","929","849","842","817","775","745","719","750","737","101","621","993","543","1396","1180","1429","2353","1566","1362","1242","900","900",
"Chile","CHL","Net migration","SM.POP.NETM","-27179","-27959","-28854","-29988","-32153","-34847","-37355","-38972","-39058","-37903","-36078","-34137","-32609","-31895","-31225","-30556","-30002","-29659","-29647","-29890","-30275","-30641","-30852","-30484","-28058","-24137","-19630","-15430","-12126","-8686","-5253","-2214","17","1196","1931","2490","2980","3536","4240","4988","5790","6720","7828","9266","11515","14336","17348","20188","22516","24330","26064","28128","30925","36566","52709","55709","126525","214697","237358","230162","98439","113709","-66850","-71205",
"China","CHN","Net migration","SM.POP.NETM","-118519","-179064","-219144","-219686","-183384","-128537","-73698","-37406","-37291","-72835","-126514","-180202","-215730","-215090","-175304","-115215","-55120","-15327","-9923","-13705","-20131","-28017","-36185","-43762","-51959","-60932","-79193","-169188","-282270","-627109","-290067","-757481","-873177","-749957","-477036","-625725","-553915","-501141","-439828","-492597","-549792","-485419","-477885","-527837","-458505","-519752","-473105","-438846","-469093","-350365","-216417","-147585","-124641","-137444","-198432","-155379","-153054","-180592","-296674","-302609","-33649","-200194","-311380","-310220",
"Cote d'Ivoire","CIV","Net migration","SM.POP.NETM","31307","36410","39669","40132","40132","40132","40132","40132","41192","48198","58885","69727","77214","78960","79445","79765","20141","14753","9446","4929","1771","-176","-1481","-2485","-3289","-4006","-4774","8742","39814","59771","62979","64083","65590","66740","67090","66455","65161","61503","27375","-42783","-63877","-76730","-90581","-99980","-108973","-117468","-124792","-130231","-133857","-136317","-138260","-156846","-144173","-148501","-23011","-21498","-20148","-18758","-17190","-15520","-12301","-21000","6000","6000",
"Cameroon","CMR","Net migration","SM.POP.NETM","0","0","0","0","-15","-51","-109","-163","-218","-291","-373","-444","-482","-477","-385","-243","-19995","-20622","-1296","-12106","70584","27854","-139994","-37377","-3511","-3597","-3671","-3816","-16013","-11241","-8163","-14519","-13704","-9597","-12024","-12660","-12744","-13843","-12442","-17405","-21221","-19204","-10766","-18575","-19445","-27782","-28536","-10804","-10722","-10203","-9362","-12671","-7529","-6900","96607","42007","13251","-37910","-9185","-12254","-9889","-9889","-4800","-4800",
