"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Maldives","MDV","Net migration","SM.POP.NETM","-41","-59","-89","-134","-236","1396","1206","476","201","265","280","273","182","-80","-185","-140","-270","-622","-712","-974","-914","-1038","-1308","-1772","-1499","-472","-279","-438","-779","-811","-243","-236","-304","-382","-538","-518","-662","-628","-732","-731","133","547","542","439","402","195","4945","6106","5931","5992","6244","6504","6660","6794","12535","12526","12191","11665","10578","6690","1134","1189","-8011","-8652",
"Middle East & North Africa","MEA","Net migration","SM.POP.NETM","-55509","-96115","-42577","-64869","-39488","-46096","28219","25171","48423","43767","37166","-9733","27638","64171","72640","440626","1050344","180053","-491307","204338","320472","1441617","289418","436132","406573","194098","473690","302823","265969","395819","-99275","759473","-11230","-984086","-180184","-142826","44978","265402","306224","303989","452463","355897","-465414","281105","487930","1196455","1692610","1807308","1757090","1412793","598246","-344284","230635","550874","401511","427751","-167117","-175273","398806","119982","-1699850","-367806","318630","308219",
"Mexico","MEX","Net migration","SM.POP.NETM","-90381","-56177","-59833","-66521","-72587","-72486","-96681","-98676","-116362","-130524","-137213","-138534","-140810","-137332","-135138","-113208","-129187","-36258","-55950","-66472","-261285","-475073","-489089","-486358","-547736","-588611","-641663","-618502","-573155","-592054","-286584","-319832","-298907","-316437","-276896","-313979","-320872","-312542","-302976","-335401","-356430","-348349","-324106","-332396","-270797","-318048","-312270","-309663","-321847","-289132","-41156","4184","-48160","-101719","-100413","-82173","33094","-12438","-99430","-47764","-9949","-52649","-51399","-50239",
"Marshall Islands","MHL","Net migration","SM.POP.NETM","9","15","20","25","28","25","17","412","871","876","172","-509","-520","-523","-173","-194","-210","-222","-233","-263","-173","-52","-43","-35","-24","-18","-16","-31","-122","-549","-593","-629","-654","-687","-723","-743","-754","-756","-767","-1043","-1323","-1442","-1532","-1595","-1627","-1637","-1647","-1662","-1641","-1544","-1415","-1901","-1901","-1901","-1901","-1901","-1901","-1901","-1901","-1901","-1901","-1901","0","0",
"Middle income","MIC","Net migration","SM.POP.NETM","-440770","-593111","-663100","-755086","-718826","-794771","-827635","-651289","-744423","-917233","-1452843","-1728004","-1551864","-1635925","-1674908","-1286048","-1087374","-825327","-1840956","-950025","445774","693675","-816898","-997180","-1468178","-1095828","-1184027","-1224957","-1358454","-1796017","-43840","-2681879","-4211635","-3158920","-2691982","-2649066","-2861602","-2298870","-2622015","-2498621","-1603562","-2385310","-4343650","-3503954","-3138545","-4369397","-5519069","-5517690","-4951163","-4132627","-2865964","-3419801","-2439856","-1330305","-1468970","-2152525","-3217864","-2587086","-3099769","-3321066","-538467","-1257458","-8257384","-1555566",
"North Macedonia","MKD","Net migration","SM.POP.NETM","-10130","-6307","-13704","-5762","-5938","-5380","-4175","-2693","-1196","187","69","-2066","0","-2","-1","1","0","0","-2","-1","-1","-15","-11719","-12883","-13254","-13489","-13593","-13636","-13627","-13524","-16174","-35899","-34300","-36691","-21003","-3605","-394","-470","-591","5809","5516","7328","-2858","-2880","-2638","-2250","-1858","-1558","-1454","-1478","-1578","-1690","-1758","-1737","-1597","-1378","-1164","-1018","-1000","-987","-486","-486","-1000","-1000",
"Mali","MLI","Net migration","SM.POP.NETM","-10332","-10165","-10843","-11980","-13252","-13693","-17072","-16944","-18058","-18341","-17521","-22180","-19647","-19183","-22508","-26632","-34088","-28926","-31602","-32438","-30239","-34216","-34232","-34214","-47454","-63524","-82188","-91198","-88203","-75987","-68856","-77380","-70975","-68995","-63686","-67932","-68134","-56107","-30323","-21740","-17423","-12530","-8926","-11780","-10805","-17436","-18275","-19966","-24538","-34428","-34523","-43216","-140747","-41013","-50149","-48947","-30294","-33995","-40761","-44428","-14978","-22236","-39998","-39998",
"Malta","MLT","Net migration","SM.POP.NETM","-6168","-6753","-7080","-7157","-6915","-6443","-5790","-4968","-4264","-3636","-3104","-2625","-2219","-1776","-1397","-1037","-707","-412","-157","81","268","438","499","507","461","381","454","482","498","537","606","726","860","1049","1296","1530","1489","1608","1748","1804","1799","1687","1507","1238","872","456","183","350","918","1774","3049","4806","6167","7348","8474","9443","10239","10836","11180","11247","10854","10408","850","850",
"Myanmar","MMR","Net migration","SM.POP.NETM","8812","11972","13540","14345","15600","18850","15447","18468","17297","17491","17995","6315","10730","-55665","-53905","-52795","-60596","-37899","-36071","-44199","-37697","-52859","-79901","18430","11430","6076","-7352","-11643","-13044","-26579","-40864","-79081","-80697","-83251","-71386","-75127","-65800","-58984","-62299","-81905","-106816","-131190","-150317","-165833","-169843","-185133","-186225","-185117","-180646","-158651","-116543","-82753","-61554","-62882","-74923","-94128","-87935","-105438","-114634","-100810","-66228","-35382","-34998","-34998",
"Middle East & North Africa (excluding high income)","MNA","Net migration","SM.POP.NETM","-122438","-179456","-138094","-169333","-150639","-163135","-95271","-107968","-117493","-132811","-143422","-204967","-185511","-160077","-164988","208947","784990","-100888","-779000","-85711","30441","1194769","29273","157107","136655","-112905","129859","-56284","-105375","14553","743748","-35988","-362162","-1132362","-285944","-285098","-177597","30787","75051","84374","246824","156747","-660896","78193","266115","133256","54061","-91177","-126142","-124175","-43905","-957845","-406374","-45524","124496","-240681","-543722","-693065","25497","-44693","-67916","-140967","266784","256373",
"Montenegro","MNE","Net migration","SM.POP.NETM","-2477","-2560","-2877","-3026","-2857","-2738","-2514","-2118","-1980","-1949","-2063","-1483","-1383","-1198","-1010","-784","-632","-393","-152","56","-111","-2664","-3591","-3585","-3508","-3155","-3100","-3010","-2572","-2024","-1762","-1996","-2886","-2949","-2916","-3124","-3026","-3126","-3410","-3797","-4423","-3408","-3174","-3253","-1848","-1986","-2523","-2903","-3191","-3268","-2017","0","-634","-993","-1742","-1943","-2111","-1980","-2024","-1636","-1326","-101","-480","-480",
"Mongolia","MNG","Net migration","SM.POP.NETM","13410","12194","10889","3064","3822","4822","5117","4572","3087","1596","2151","2874","3589","4610","5246","5435","5249","3855","2706","-1800","-1493","-1561","-1894","-2113","-1822","-793","997","808","591","-9590","-11026","-10556","-9002","-7672","-8114","-8617","-8034","-8257","-8915","-8519","-10833","-9448","-8311","-7755","-8142","-8663","-10827","-11805","-11683","-9646","-8592","-1248","-2156","-1527","813","3932","7470","10802","11426","10664","0","0","-850","-850",
"Northern Mariana Islands","MNP","Net migration","SM.POP.NETM","11","31","46","58","70","71","64","-379","-907","-872","501","1032","1074","753","-126","-175","-206","-217","-205","-169","1487","2154","2297","2446","2573","2669","2723","2649","2592","2637","-286","-1406","-1550","-1553","-1513","784","6015","6329","6378","6320","-1149","-3749","-3923","-4069","-4233","-4365","-4415","-4370","-4207","-3995","-3917","-918","-914","-906","-884","-866","-852","-830","-817","-806","-431","-431","-50","-50",
"Mozambique","MOZ","Net migration","SM.POP.NETM","-44466","-31580","-29193","-28745","-26306","-20420","-23534","-19162","-19182","-15875","-5468","11749","39407","50018","55981","64299","64050","99519","104611","89893","-122726","-18371","-34299","-29916","-23223","-39678","-106376","-423368","-259989","-170957","-97330","-95107","-110878","158569","502417","72493","66949","-55158","-54854","-62292","-58468","-51429","-44909","-48338","-40129","-52323","-48812","-44273","-62180","-60999","-29343","-8820","10389","22477","31611","30414","77168","14804","-12765","-17639","11745","-9515","-5000","-5000",
"Mauritania","MRT","Net migration","SM.POP.NETM","-322","-336","-347","-369","-397","-438","-477","-521","-575","-698","-864","-1019","-1148","-1209","-1325","-1477","-1655","-2998","-2998","-2997","-2997","-2998","-2998","-2998","-2998","-2998","-2998","-2997","-2997","-17967","-3002","-2998","34504","6215","5305","-22996","-28880","-8191","-8513","-2998","-2997","-21099","-18933","-19137","-19075","-18723","-18058","-17078","-8361","-2553","3637","9340","14070","-2987","-2984","-3018","-3009","-3001","-2987","-3018","-1494","-1494","3000","3000",
"Mauritius","MUS","Net migration","SM.POP.NETM","-2494","-3026","-2968","-3306","-3222","-2829","-2208","-1767","-1896","-2075","-2191","-2468","-2686","-3031","-3282","-3210","-3431","-3388","-2877","-2180","-1601","-1462","-1826","-1288","130","807","1296","127","-965","-1803","-1646","-1454","-1343","-1305","-1284","-1305","-1349","-1455","-1576","-1882","-2522","-3145","-3357","-3347","-3288","-3221","-3166","-3141","-3127","-3146","-3194","-3520","-3327","-3131","-2932","-2747","-2558","-2381","-2209","-1034","-478","-478","0","0",
"Malawi","MWI","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","-1314","-2701","-2149","-716","51","1625","3815","5145","8189","19634","36219","46380","51087","55952","60243","64017","68301","70875","61049","269431","201016","180037","71114","15292","37143","-284877","-505381","-66368","-66214","-61647","-39492","-34028","-29032","-28658","-30010","-31699","-32211","-31428","-29400","-22662","-9242","-8588","-9321","-12133","-13506","-12899","-10309","-6449","-5498","-4795","-3706","-2228","-1775","-1775","-6000","-6000",
"Malaysia","MYS","Net migration","SM.POP.NETM","-10446","-8340","-7589","-8107","-10677","-13158","-20869","-22724","-25763","-26779","-25428","-33070","-28251","-25703","-22142","-15218","-13508","6675","5914","4349","6622","-1768","-716","9184","24296","50994","72169","92834","101477","98199","94487","81545","88349","88952","100207","94297","102218","113370","119482","124435","174011","198361","224999","226003","244359","245376","251101","247032","217538","194571","114491","115314","113421","102150","94785","80603","97737","78257","60604","60824","57483","46165","48997","48997",
"North America","NAC","Net migration","SM.POP.NETM","627919","566007","576315","629644","560432","601358","474299","502392","606154","755400","1233500","1110597","1021295","952747","933087","962000","853948","1069458","1186185","1185168","1224256","808503","765647","833424","750443","798871","779055","819151","967156","1142696","1566949","1696571","1940175","1881649","1939565","1816215","1922047","2006919","1926166","1811373","1681226","1559934","1374400","1257031","1393500","1334092","1315560","1319027","1333645","1271624","1258239","1551053","1568434","1563061","1446330","1454272","1769865","1739131","1619076","1550648","871032","757052","1247126","1249446",
"Namibia","NAM","Net migration","SM.POP.NETM","-3227","-2807","-2403","-2016","-1660","-1327","-1023","-339","-636","-57","-244","-208","-236","-1066","-744","-553","-5048","-3907","-22827","-4818","-15041","-18901","-889","-481","-267","2090","3953","4559","10916","75072","3969","309","2487","5464","5578","5712","5866","6023","6180","6333","5709","2869","-1913","-6153","-7192","-8195","-8792","-8905","-8775","-8626","-8518","-8639","-8596","-8580","-8607","-8596","-8596","-8597","-8596","-8596","-4301","-4301","-4061","-3916",
"New Caledonia","NCL","Net migration","SM.POP.NETM","815","844","757","509","329","291","312","317","587","1228","1708","1871","1969","2047","2130","1579","108","-1060","-1357","-1366","-1379","-1406","-1170","-561","-69","48","89","111","293","663","953","1025","1037","1057","1089","1072","979","901","901","938","969","1001","1022","928","543","83","572","582","580","1005","1709","1756","1793","1860","510","-2230","-2346","-2389","-2386","-2336","-1182","-1182","500","500",
"Niger","NER","Net migration","SM.POP.NETM","-3653","-2893","-2375","-2301","-2301","-2301","-2301","-2301","-2287","-2249","-2226","-2287","-2532","-2951","-3181","-3256","-3312","-3476","-3496","-3498","-5582","-7580","-8959","-9231","-9227","-6141","-2731","-2347","-1148","619","84","-1513","-2266","-2277","-966","3837","-8065","-13699","-7303","-12054","-8533","-8668","-9560","-8855","-9082","-9710","-10071","-10086","-9853","-9028","-8045","-6953","18714","-2551","3883","17051","14833","-6827","-3816","-15787","-4403","-4405","1000","1000",
"Nigeria","NGA","Net migration","SM.POP.NETM","12174","21080","23312","22134","21439","28207","7449","14132","4930","1669","7960","-35585","-13077","-699","44211","75448","72700","129022","111237","137656","184467","90174","73253","-507539","67234","19791","12447","40048","72254","81688","107212","12661","63692","60446","98121","43504","54743","67109","62195","41275","34146","37267","39619","4194","16528","-46749","-41526","-38960","-43402","-48397","18073","38226","41741","10588","-49351","-145917","-54315","15016","-81384","-103989","-4824","-76364","-59996","-59996",
"Nicaragua","NIC","Net migration","SM.POP.NETM","-2417","-2575","-2726","-2879","-3042","-3226","-3439","-3670","-3981","-4590","-5419","-6332","-7216","-7952","-8641","-9349","-10153","-11077","-12274","-14143","-15132","-17354","-19393","-20620","-22494","-23848","-24805","-25124","-24750","-24375","-24283","-24030","-24173","-24094","-24774","-25888","-35212","-36845","-38264","-40098","-42092","-43839","-44899","-44933","-44221","-33283","-32274","-31360","-30675","-29914","-29081","-28224","-27388","-26589","-25571","-24359","-23081","-21841","-20739","-19733","-10384","-10384","-8000","-8000",
"Netherlands","NLD","Net migration","SM.POP.NETM","-1845","-469","1376","3544","5663","8091","10636","13608","16791","20270","24024","27272","29789","31535","32613","32971","32630","31478","29717","27325","24210","21737","20102","19123","18758","19149","20357","22282","24900","28219","32373","35486","37760","38984","39389","38760","37200","34673","31182","26897","21650","17665","14789","13122","12819","13610","15632","18739","23206","28780","35628","41782","46924","51268","54876","57677","59528","60585","60758","60266","58816","57439","29998","29998",
"Norway","NOR","Net migration","SM.POP.NETM","-1990","978","637","744","-1909","-1976","-1247","1846","1647","2276","-1319","3107","5664","3396","4285","3311","4776","4655","3881","2820","3745","5878","5756","4041","3801","6558","7476","13732","10240","-1739","1895","8076","10216","12589","7652","6522","5756","9777","13331","19147","9789","7888","17269","11447","13425","18467","24017","39806","43884","39234","42906","47281","47786","40480","38565","30329","26425","21584","18388","25564","10756","10604","27998","27998",
"Nepal","NPL","Net migration","SM.POP.NETM","-13235","-10608","-9259","-8313","-6094","-1559","-3307","355","-757","-539","1846","-7285","-2111","-1089","-4360","-6677","-15131","2113","351","105","5084","-4859","-3898","1314","-19303","-30173","-47064","-72511","-64324","-39853","-650","17056","84106","-37782","-27423","-86300","-92417","-98574","-108537","-122704","-147403","-149185","-160257","-183002","-212507","-238799","-271254","-282748","-294886","-300762","-293613","-347554","-371708","-373065","-310157","-221059","-98016","-78062","-81130","-70597","306664","296541","-62012","-62012",
"Nauru","NRU","Net migration","SM.POP.NETM","89","126","157","185","205","221","-31","-12","142","71","-3","0","0","0","0","0","-1","50","-77","-76","-71","-65","-231","292","16","26","38","53","61","67","71","65","-110","-193","-198","-201","-205","-208","-213","-217","-223","-228","-219","-211","-223","-234","-247","-258","-263","-262","-252","-207","-32","-34","-31","-31","-31","-34","-39","-107","-68","-66","-140","-140",
"New Zealand","NZL","Net migration","SM.POP.NETM","4371","11045","12553","10462","9679","9382","9493","-2018","-11506","-5097","4590","7629","18032","28061","27542","12858","-9194","-22440","-28581","-26852","-15213","-7668","7831","11546","-963","-13674","-10282","-7835","-16784","-9077","71491","30577","6535","12337","20272","26133","24974","11761","-1765","-8993","-6080","17140","47693","42181","24480","19148","14521","2976","4679","12403","6258","-2405","-1539","22547","48532","47165","50012","48815","80419","103392","38220","38220","12999","12999",
"OECD members","OED","Net migration","SM.POP.NETM","375320","495034","589829","674624","544453","568003","642957","701844","684598","770053","1178023","1437486","1280540","1164213","1076070","785190","643083","1010231","975024","919940","1128482","342319","450401","625544","550699","651881","729896","886065","1120857","1395708","2211593","2059372","2308757","2252802","2342494","2117819","2290620","2304726","2250105","2167106","2489277","2208429","2831316","2984161","3198970","2933263","2995953","3489965","3119804","2757278","2900132","3339540","3463880","3321193","3672517","3531505","4167539","3998196","4044566","4085765","2540918","2433502","6095042","488694",
"Oman","OMN","Net migration","SM.POP.NETM","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","-2997","4880","5632","8299","10551","11948","12513","12626","14241","15366","15619","14993","33818","32569","32234","32379","33027","33492","33643","33345","28131","-14802","-15515","-16769","-17943","-19193","-20097","-19889","-20234","-20634","-20635","-855","-630","-398","-755","-2491","-4718","264095","266486","262093","161176","75961","134260","118472","5777","-51177","-106864","-164408","-20664","0","0",
"Other small states","OSS","Net migration","SM.POP.NETM","-10895","-7814","-5903","-6306","-22042","-25069","-11775","8309","9346","-3250","4607","-637","17700","23645","45078","69188","75918","81662","66083","36872","28633","6570","21440","25412","29538","42561","44975","40831","57541","104380","60925","20312","-143889","-15456","-79928","-16054","-12221","15855","18543","22958","17968","19312","10924","16969","36162","140390","261263","271005","261210","174222","66190","75390","108809","181469","238835","229653","186788","100092","29729","12322","-210580","-32353","-21211","-21213",
"Pakistan","PAK","Net migration","SM.POP.NETM","0","-133982","-131607","-129202","-126712","-124241","-122151","-119938","-117510","-114875","-116631","-136808","-138485","-116081","-69596","-3437","47154","84000","110097","450001","1078233","997103","552153","73873","-351354","282435","199664","326899","148304","68004","30184","-6127","-1320633","-278","-276644","296208","147987","151546","148849","148403","940739","344288","-834546","-578225","-524871","-632467","-628923","-563471","-525915","-338507","-431891","-890633","-1647986","-1906315","-2037911","-2172159","-2290411","-1574581","-1309609","-1177218","-588736","-471395","-165988","-165988",
"Panama","PAN","Net migration","SM.POP.NETM","-2409","-2394","-2377","-2380","-2418","-2454","-2500","-2528","-2528","-2510","-2476","-2454","-2448","-2464","-2531","-2635","-2727","-2793","-2812","-2772","-2701","-2620","-2554","-2518","-2435","-2297","-2136","-1953","-1750","-1368","-854","-305","182","560","899","1221","1533","1820","2084","2341","2602","2856","3099","3352","3596","3843","4087","4330","4568","4765","4953","5167","5447","5926","7105","8648","10109","11059","11130","10623","5473","5473","7967","7262",
"Peru","PER","Net migration","SM.POP.NETM","-2026","-375","-4365","-5288","-4922","-2311","-6843","-5432","-7677","-4045","-649","-20192","-24131","-28209","-33516","-34423","-41650","-20129","-19936","-17161","-4806","-15019","-14261","-7843","-16863","-23587","-37880","-40277","-36127","-37668","-35982","-61663","-51779","-51720","-39297","-46443","-38694","-32467","-35941","-60881","-94554","-128827","-157162","-181202","-194133","-221582","-231739","-236705","-235263","-219304","-181284","-148270","-118758","-95149","-50381","2462","80725","104242","326831","136558","79456","68012","-60652","-61442",
"Philippines","PHL","Net migration","SM.POP.NETM","-155327","-221620","-232922","-239948","-241630","-242177","-250618","-236043","-235037","-250039","-208125","-226375","-221928","-220160","-249665","-191812","-138957","-89147","-100900","-124344","-134411","-151928","-173001","-175518","-188441","-185754","-199600","-219289","-215159","-209926","-149089","-198673","-179039","-169227","-147940","-143386","5539","-3109","-24139","-59467","-122971","-185071","-195877","-204925","-182951","-223074","-235227","-217909","-190626","-232359","-183268","-103875","-156051","-199869","-237890","6954","79051","36111","-15371","-24066","-41937","-80125","-69996","-69996",
"Palau","PLW","Net migration","SM.POP.NETM","-71","-57","-40","-18","1","18","26","-128","-160","-156","81","191","203","75","-268","-269","-269","-264","-255","-260","-156","124","138","153","169","185","155","151","151","154","169","188","189","189","209","283","408","415","420","415","79","-78","-78","-76","-68","-277","-338","-337","-342","-347","-356","-364","-339","-50","-51","8","8","8","8","8","7","3","-20","-20",
"Papua New Guinea","PNG","Net migration","SM.POP.NETM","-2033","-10404","-12136","-15180","-17726","-18532","-17455","-19762","-19193","-18993","-18774","-18943","-20301","-21803","-22776","-23563","-24192","-24722","-25212","-25612","-25633","-25380","-25353","-25462","-25489","-25472","-25499","-25718","-26234","-19827","2397","26836","36623","38223","39667","40951","41986","42791","43097","42513","41857","41963","42657","43638","44804","46016","47192","48204","48988","49646","50107","40693","37896","35283","32841","30581","28474","26515","24688","22977","10695","10695","-800","-800",
"Poland","POL","Net migration","SM.POP.NETM","-20564","-20143","-23676","-19321","-19967","-18112","-15825","-15646","-20332","-24738","-71601","-25735","-28949","-28055","-26337","-28852","-29167","-27206","-48331","-19290","-12083","-8982","-20519","-8333","-5047","-12963","-20986","-25496","-98303","-36389","-41244","-44836","-43464","-38654","-36956","-48065","-38917","-37561","-39215","-24652","315602","-21293","-21339","-22621","-17064","-21324","-47251","-29316","-20946","14220","-8835","-12188","-12077","-27597","-24234","-25426","-1967","-1983","-8736","-2974","-779","-2968","3366387","-910475",
"Pre-demographic dividend","PRE","Net migration","SM.POP.NETM","-85893","-8590","-35926","-34367","-2472","-12021","-48621","-19649","-14137","-56482","-17751","-178218","-202425","-51762","92447","51378","-161636","42779","705693","268168","-1163282","-2568702","-596997","-892852","58004","-717212","-725220","-926350","-1079066","-667118","-2221922","-1436664","1181820","1335700","2465097","-482410","-1829372","-853164","-158118","-156618","-1126792","-369904","1108886","1815","-412082","18662","-1571259","-2110439","138386","-556979","-664130","-212998","55634","13145","-515267","-877524","-379760","-577864","-594290","-457552","57214","-647431","-542887","-538217",
"Puerto Rico","PRI","Net migration","SM.POP.NETM","-28261","-18255","-19639","-26268","-22835","-24941","-23205","-20570","-19212","-21238","-7771","-5579","-2422","-1499","-1701","-383","-3895","-6679","-7604","-5099","-8196","-10088","-10967","-10727","-10612","-13613","-16541","-16537","-16055","-17424","-8238","-4808","-6082","-7941","-8199","-8680","-9170","-10803","-7644","-7546","-22489","-28052","-28183","-29216","-32210","-33430","-33275","-32608","-30804","-29338","-33742","-38794","-45035","-52866","-64956","-64764","-65824","-62275","-17320","-16013","-7408","-7408","16702","19835",
"Korea, Dem. People's Rep.","PRK","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-525","-3093","-3507","-3738","-3706","-3436","-3139","-2883","-2770","-2720","-2759","-2860","-2950","-3020","-3046","-3055","-3047","-2958","-2918","-2936","-3039","-3200","-3218","-3222","-3223","-3139","-1589","-1589","-2000","-2000",
"Portugal","PRT","Net migration","SM.POP.NETM","-99337","-108748","-113654","-115226","-116960","-123211","-126471","-132757","-143420","-155330","-193554","56182","41305","44642","45390","43650","43767","42134","38455","36763","29423","-6136","-12429","-13806","-15283","-16080","-16732","-20860","-22820","-28937","-33704","-35318","-7612","11901","22141","30130","35377","39207","43501","49266","63195","57075","45651","28311","17114","17155","18775","21954","10008","15657","-11820","-24048","-37448","-36657","-30033","-10124","-8128","5244","10177","43656","40535","27295","9999","9999",
"Paraguay","PRY","Net migration","SM.POP.NETM","-14610","-14453","-14271","-14090","-13913","-13720","-13539","-13347","-13123","-12864","-12579","-10446","-7638","-4350","-3480","-3803","-4063","-4207","-4063","-3567","-2802","-2478","-2726","-2848","-3769","-3564","-3460","-3444","-3558","-4012","-4689","-5420","-6032","-6432","-6996","-7653","-8273","-8707","-9279","-11357","-15880","-27672","-36917","-39940","-40910","-42163","-44565","-45914","-44677","-40108","-26173","-20435","-17761","-17238","-16990","-16833","-16734","-16628","-16470","-16270","-8230","-8230","-12499","-12499",
"West Bank and Gaza","PSE","Net migration","SM.POP.NETM","-17662","-18224","-18971","-21220","-31125","-36419","-47780","-55265","-54963","-45586","-31405","-17235","-7848","-6736","-8670","-11596","-14515","-16444","-16654","-16058","-15067","-13892","-9799","684","9108","-31640","-21071","50702","-3008","-3026","-476","2116","4411","5975","7434","8763","9810","10417","-13145","-13857","-11501","-25657","-35034","-35960","-32854","-28157","-23450","-20334","-23981","-25908","-26350","-26662","-26918","-26976","-27076","-22904","-22774","-25452","-25137","-24737","-12369","-12369","-5000","-5000",
"Pacific island small states","PSS","Net migration","SM.POP.NETM","-1872","-1990","-2117","-2371","-2302","-2518","-4910","-6723","-7128","-6985","-8066","-9326","-9526","-9927","-9995","-10121","-9158","-9579","-9281","-8773","-9025","-8943","-10153","-9934","-10213","-10556","-12832","-14990","-18063","-19356","-20264","-26036","-22974","-23215","-24300","-25582","-20062","-17064","-16496","-17431","-18142","-19091","-19709","-20304","-20731","-21268","-21425","-22604","-24176","-24601","-23419","-23954","-24048","-23818","-23690","-23389","-22404","-22717","-22554","-22269","-11924","-11748","-8677","-8409",
"Post-demographic dividend","PST","Net migration","SM.POP.NETM","553457","596009","666410","783447","714628","741289","803701","849395","888513","1013764","1441967","1846870","1684230","1530091","1494265","1188325","986396","1174523","1195627","1265522","1639643","1108280","957284","1125024","1141443","1271571","1461289","1606480","1857958","2111320","2622897","2586339","2505863","2547288","2379560","2554376","2784560","2750572","2624727","2599912","2522425","2523819","3196920","3320350","3359645","3276194","3460942","3972624","3657179","3137219","2961191","3349598","3360433","3165585","3068657","3241249","3458467","3525765","3589262","3675644","2267432","2195799","-3727154","3930203",
"French Polynesia","PYF","Net migration","SM.POP.NETM","-725","-717","-424","88","351","369","387","399","442","477","556","674","755","796","818","832","884","1001","1124","1169","1198","1209","1146","-588","-544","-520","-517","-544","-532","-791","-904","-925","-933","-944","-961","-919","-727","-487","-417","-455","-460","-431","-304","-130","-61","-93","-342","-1179","-2190","-2603","-2613","-2521","-2639","-1988","-1668","-1676","-1687","-1046","-952","-861","-378","-378","-100","-100",
"Qatar","QAT","Net migration","SM.POP.NETM","1586","3177","3771","4278","4684","5082","5880","6637","7270","7790","10398","10404","10381","10298","10201","10070","9953","9803","9711","9670","9672","9667","9580","9319","8941","8632","6348","5396","5049","4904","5021","5494","5451","5250","5106","4893","4552","19387","22500","22364","22039","21641","24200","23444","12430","106609","203572","206156","192654","111510","64531","82815","83444","137597","179768","178133","138455","46900","11662","15493","-163999","-30801","0","0",
"Romania","ROU","Net migration","SM.POP.NETM","-24974","-650","6071","-18074","-16856","-12261","-16716","-181606","-144389","-52807","-10510","28445","52257","80665","53621","58626","77674","-27834","-31297","-29008","-19516","-23851","-10995","-8009","-34940","-29179","-50569","-44277","-48425","-31258","-39265","-32488","-76545","-76366","-80789","-75823","-70462","-88880","-89939","-85301","-91807","-87561","-101632","-97597","-106593","-129933","-125012","-127609","-138327","-129392","-112173","-47867","-21485","-13890","-20445","-49612","-64002","-58735","-57865","-25453","-12724","-12724","916813","-254616",
"Russian Federation","RUS","Net migration","SM.POP.NETM","-161432","-143868","-195932","-184852","-165355","-154888","-104991","-97641","-149880","-69192","-243934","-98924","-90664","-116848","-39791","74147","112189","132259","126465","11666","5810","13524","102830","219394","188219","220025","288619","261154","238663","68756","257950","124261","443129","731233","658544","544803","463685","463215","464127","518140","404928","287206","289174","241147","239753","244437","282022","372974","385471","374958","253479","295952","304059","291552","260843","384942","373316","350105","336527","333509","340711","320617","942445","-136414",
"Rwanda","RWA","Net migration","SM.POP.NETM","-13204","-20540","-25631","-25565","-19490","-9788","-1943","4652","4722","2984","1156","-4213","-4148","-3860","-4531","-4792","-7034","-11093","-13849","-3474","4634","14235","12606","-14660","-18739","4017","17982","10619","-26673","-46816","-31720","-48085","3454","126168","-2162873","443316","1372202","239690","-84051","-97819","-99860","-91955","-47989","-17399","-18936","-23051","-20195","-17724","-16880","-15121","-8394","-5358","-14824","-15833","-15027","-14477","-2605","-5169","-10794","-11823","-1579","-6112","-8999","-8999",
"South Asia","SAS","Net migration","SM.POP.NETM","44061","-7357","-4801","-65871","-101193","-53006","-267236","-218654","-320596","-425829","-362585","-686341","-561053","-531738","-643017","-814813","-1164270","-544251","-572351","-514694","-354178","-1379088","-272390","-202317","-312482","-328417","-915797","-777307","-456311","-299141","-765584","-545640","228485","796462","183479","-225905","-418704","-423233","-453522","-518744","-874181","-531153","-341162","-1176448","-1730551","-1920218","-2682220","-3496468","-2844393","-2232173","-1730760","-1412371","-2427962","-2752864","-2708921","-3523806","-2552785","-2181786","-2409118","-2281362","-302152","-925916","-1176332","-1175806",
"Saudi Arabia","SAU","Net migration","SM.POP.NETM","7608","14989","19752","23247","25956","28951","31542","38216","44158","51717","63988","84904","110281","128233","138421","132741","126764","138007","140992","143124","148004","145612","150272","159355","160314","163926","162807","170249","178115","182375","186898","165010","130258","31317","35332","27095","29773","31781","29767","24400","17241","19616","22830","17278","10112","481349","490805","495746","495131","494189","236962","94083","88879","77738","65520","60337","171429","282947","253245","241172","-1025295","-153883","28998","28998",
