longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
11.17007,10.30476,110699,Government Shephered Jauro Abare,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Government Shephered Market Jauro Abare,,,,,,,,,GMSGME11,110699,10.3,11.17
11.17634,10.30959,110700,Malam Inna Mini,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Malam Inna Mini Market,,,,,,,,,GMSGME11,110700,10.31,11.18
11.32628,9.94267,110701,Gujuba,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Gujuba Market,,,,,,,,,GMSKLT06,110701,9.94,11.33
11.4689,9.91679,110702,Monday Kalti,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Monday Market Kalti,,,,,,,,,GMSKLT06,110702,9.92,11.47
11.26975,9.93303,110703,Limde Potera,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Limde Potera Market,,,,,,,,,GMSKLT07,110703,9.93,11.27
11.30943,9.8159,110704,Kaltungo Central,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kaltungo Central Market,,,,,,,,,GMSKLT05,110704,9.82,11.31
8.76935,9.44928,110705,Kakuruk Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kakuruk Market Square,,,,,,,,,PLSBLD05,110705,9.45,8.77
8.99221,9.47196,110706,Central Marit,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Central Market Marit,,,,,,,,,PLSBLD11,110706,9.47,8.99
8.89355,9.54012,110707,Barkin Central,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Barkin Central Market,,,,,,,,,PLSBLD15,110707,9.54,8.89
8.68257,9.84984,110708,Central Miango,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Central Market Miango,,,,,,,,,PLSBSA17,110708,9.85,8.68
8.79824,10.24313,110709,Central Jengre,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Central Market Jengre,,,,,,,,,PLSBSA08,110709,10.24,8.8
9.954008,9.2872,110710,Wum,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Wum Market,,,,,,,,,PLSDNG15,110710,9.29,9.95
10.07764,9.36119,110711,Jarmai,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Jarmai Market,,,,,,,,,PLSDNG11,110711,9.36,10.08
9.79041,9.41756,110712,Kasuwan Guzuk,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kasuwan Guzuk,,,,,,,,,PLSDNG09,110712,9.42,9.79
9.70047,9.35534,110713,Old Amper,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Old Market Amper,,,,,,,,,PLSKWK04,110713,9.36,9.7
9.57193,9.42989,110714,Dawaki,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Dawaki Market,,,,,,,,,PLSKWK05,110714,9.43,9.57
9.89314,9.19252,110715,Pil Gani,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Pil Gani Market,,,,,,,,,PLSLGT13,110715,9.19,9.89
9.18782,9.29875,110716,Ampang West,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Ampang West Market,,,,,,,,,PLSMGU01,110716,9.3,9.19
9.19957,9.33389,110717,Kerang Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kerang Market Square,,,,,,,,,PLSMGU12,110717,9.33,9.2
9.2738,9.40371,110718,Pushit,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Pushit Market,,,,,,,,,PLSMGU20,110718,9.4,9.27
9.13774,9.49045,110719,Mangu,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Mangu Market,,,,,,,,,PLSMGU15,110719,9.49,9.14
9.23237,9.59486,110720,New Square Gindiri,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,New Market Square Gindiri,,,,,,,,,PLSMGU06,110720,9.59,9.23
9.15352,9.67625,110721,Kadunu Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kadunu Market Square,,,,,,,,,PLSMGU10,110721,9.68,9.15
9.48481,9.02314,110722,Central Piapung,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Central Market Piapung,,,,,,,,,PLSTNK15,110722,9.02,9.48
9.28819,8.61386,110723,Bakin Ciyawa,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Bakin Ciyawa Market,,,,,,,,,PLSQAP16,110723,8.61,9.29
9.09224,8.68511,110724,Namu Central,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Namu Central Market,,,,,,,,,PLSQAP18,110724,8.69,9.09
9.2328,8.7173,110725,Gidan Dabat Yam,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Gidan Dabat Yam Market,,,,,,,,,PLSQAP10,110725,8.72,9.23
9.29918,8.77594,110726,Kurgwi Yam,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kurgwi Yam Market,,,,,,,,,PLSQAP07,110726,8.78,9.3
9.29055,8.7809,110727,Kurgwi,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kurgwi Market,,,,,,,,,PLSQAP08,110727,8.78,9.29
9.28617,8.91351,110728,Shang Fuup Yam,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Shang Fuup Yam Market,,,,,,,,,PLSQAP16,110728,8.91,9.29
8.72927,9.61355,110729,Hoss Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Hoss Market Square,,,,,,,,,PLSRYM08,110729,9.61,8.73
8.63686,9.65364,110730,Central Square Dantse,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Central Market Square Dantse,,,,,,,,,PLSRYM03,110730,9.65,8.64
9.89275,9.01741,110731,Guiwan Kogi Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Guiwan Kogi Market Square,,,,,,,,,PLSWAS10,110731,9.02,9.89
