"","X","Branches","Address","ID"
"317",320,"NEW OKO OBA, AGEGE","New Oko Oba Agege",3647
"318",321,"NNS QUORRA","HARBOUR ROAD OFF DOCKYARD RD. APAPA, LAGOS",1540
"319",322,"NYSC- IYANA IPAJA","241 NEW IPAJA ROAD, IYANA IPAJA",5292
"320",323,"OBA AKRAN","37, OBA AKRAN AVENUE IKEJA, LAGOS",4192
"321",324,"OBA AKRAN","24, Oba Akran Avenue, Ikeja, Lagos",2313
"322",325,"OBA AKRAN 3","138, Oba Akran Avenue, Ikeja. Lagos",8330
"323",326,"OBALENDE","1, ST. GREGORY RD, OBALENDE, LAGOS",223
"324",327,"ODUNADE BUS STOP, ORILE, LAGOS","29 Badagry Expressway, Odunade Orile, Lagos",6167
"325",328,"OGBA","21A ACME ROAD, OGBA-IKEJA, LAGOS",9688
"326",329,"OGUDU GRA","14B, Ogudu Road, GRA. Ogudu. Lagos",4175
"327",330,"OGUNLANA DRIVE","154, OGUNLANA DRIVE, SURULERE, LAGOS",6637
"328",331,"OJODU","Plot 104, Ojodu-Isheri Road, Beside Mr. Biggs. Ojodu, Lagos State",1021
"329",332,"OJODU 2","26, New Isheri Road, Ojodu. Lagos State",7321
"330",333,"OJUELEGBA 2","81, Ojuelegba Road, Surulere. Lagos",3834
"331",334,"OJUELEGBA BUSINESS OFFICE","123 OJUELEGBA ROAD, SURULERE, LAGOS",5595
"332",335,"OKE ARIN","23, Oke Arin Street, Lagos Island, Lagos State",4182
"333",336,"OKE ARIN 1","20, Ijaiye Road, Off John Street, Okearin, Lagos",420
"334",337,"OKEARIN 3","33, ISSA WILLIAMS, OKE ARIN, LAGOS",4570
"335",338,"OKOKOMAIKO","29/31 Badagry Exp Way Okokomaiko, Lagos",2435
"336",339,"ONIPANU","135, Ikorodu Road. Onipanu, Lagos",9151
"337",340,"OREGUN","56, KUDIRAT ABIOLA WAY, OREGUN, IKEJA, LAGOS",583
"338",341,"OSHODI","Oshodi Apapa Express Road. Oshodi, Lagos",3179
"339",342,"OYIN JOLAYEMI","PLOT 1662 OYIN JOLAYEMI STREET, VICTORIA ISLAND, LAGOS",156
"340",343,"PALM AVENUE","20, Palm Avenue. Mushin. Lagos",649
"341",344,"SEME BORDER","Lagos Badagry Exp. Way. Seme Border Post. Lagos",752
"342",345,"SIMBIAT ABIOLA RD","1, Simbiat Abiola Road, Ikeja. Lagos",6696
"343",347,"TINUBU","5/7 KAKAWA STR, LAGOS ISLAND. LAGOS",4451
"344",348,"UBA ALABA","3, Agudosi Street, Ojo-Alaba Int. Market, Lagos",3012
"345",349,"UBA Apapa2","27, WHARF ROAD, APAPA, LAGOS",4103
"346",350,"UBA Festac","21, ROAD FESTAC AREA",4888
"347",351,"UBA HOUSE","UBA HOUSE, 35 BRD STREET,LAGOS",7143
"348",352,"UBA Isolo","10, ISOLO WAY ISOLO LAGOS",608
"349",353,"UBA Okota","OKOTA BUSINESS OFFICE",117
"350",354,"UBA TRADE FAIR COMPLEX ATIKU HALL","Atiku Abubakar Hall, Trade Fair Complex",4600
"351",355,"UNIVERSITY OF LAGOS, AKOKA","University of Lagos, Akoka",2867
"352",356,"WAREHOUSE RD","11-13 WAREHOUSE RD, LAGOS",675
"353",357,"WESTERN AVENUE","NO. 68, WESTERN AVENUE, SURULERE, LAGOS",4290
"354",358,"ABUBAKAR BURGA B/O","ABUBAKAR BURGA STREET, KEFFI",9948
"355",359,"JOS ROAD B/O","JOS ROAD, LAFIA, NASARAWA",7042
"356",360,"MAKAMA DOGO B/O","28, MAKAMA DOGO ROAD, NASARAWA",8197
"357",361,"MARABA B/O","Maraba Business Office, Nasarawa",3888
"358",362,"WAMBA B/O","WAMBA, WAMBA LGA",6844
"359",363,"2, SULEIMAN BARAU ROAD, SULEJA","2 Suleiman Barau Road Suleja",1601
"360",364,"KONTAGORA B/O","KONTAGORA, NIGER STATE",8263
"361",365,"KUTIGI B/O","KUTIGI, NIGER STATE",6253
"362",366,"LAPAI B/O","LAPAI, AHMADU BELLO WAY, NIGER STATE",5094
"363",367,"MINNA 2 B/O","MTD8 PAIKO RD, MINNA, NIGER",4941
"364",368,"MOKWA B/O","LAGOS - KADUNA ROAD, MOKWA",3529
"365",369,"NEW BUSSA B/O","IBRAHIM TAIWO RD, NEW BUSSA, NIGER STATE",5285
"366",370,"PAIKO B/O","PAIKO ROAD, MINNA, NIGER STATE",2218
"367",371,"WUSHISHI B/O","BIDA-ZUNGERU ROAD, WUSHISHI",8451
"368",372,"191 AKARIGBO STREET, SABO, SAGAMU","191 Akarigbo Str. Sabo Sagamu",1096
"369",373,"473B, ABEOKUTA EXPRESS ROAD","473B, Abeokuta Express Road Lagos",2899
"370",374,"ABEOKUTA","5 ONIKOLOBO ROAD, ABEOKUTA",9742
"371",375,"ABEOKUTA 2","67, TINUBU STREET,ITA-EKO,ABEOKUTA,OGUN STATE",1107
"372",376,"CANAANLAND, OTTA","KM 10, Idiroko Road, Canaanland. PMB 1040. Otta. Ogun State",6715
"373",377,"IJEBU –ODE","59, IBADAN ROAD, IJEBU ODE, OGUN STATE",1055
"374",378,"ILARO OFF OGUN POLY, ILARO","Ilaro Off, Ogun Poly, Ilaro",9122
"375",380,"OTTA","91, Idiroko Road, Ota. PMB 1040. Ota. Ogun State.",3912
"376",381,"REDEEMED CAMP","Redemption Camp, Lagos Ibadan Expressway, Ogun State",886
"377",382,"UBA AGBARA","Ilaro Road, Agbara Industrial Estate, Agbara, Ogun State",6361
"378",383,"ADEYEMI COLLEGE OF EDUCATION, ONDO","Adeyemi College of Education, Ondo",4672
"379",384,"AKURE 2","ADO/OWO ROAD, AKURE",257
"380",385,"AKURE ALAGBAKA","Bode George St, Alagbaka Quarters, PMB 621. Akure",9283
"381",386,"FUTA","AKURE/ILESHA EXPRESSWAY, AKURE, ONDO STATE",1745
"382",387,"ODE AYE","1, Olowu Street,Ode Aye, Okitipupa L.G. Ondo State",4480
"383",388,"ONDO","Agbogbo-Oke, Yaba, Ondo, PMB 583. Ondo State",5436
"384",389,"ORE","Okitipupa Road, Ore. Ondo State",7534
"385",390,"OWO RD","Great Nigeria Insurance House, Owo Rd. Ondo State",2073
"386",391,"COE Ilesha","COE Ilesha",1384
"387",392,"IREE","IKIRUN/ILA-ORANGUN ROAD, IREE, OSUN STATE",2782
"388",393,"LAUTECH","LAUTECH",9695
"389",394,"Modakeke","Modakeke",2089
"390",395,"OSOGBO 1","OBAFEMI AWOLOWO WAY,OPP.OSOGBO CITY HALL,CPMB 4339, IGBONA",6891
"391",396,"OSOGBO 2","31, OBAFEMI AWOLOWO WAY, IGBONA, OSOGBO, OSUN STATE",5542
"392",397,"OSU","OLD IFE / ILESA ROAD, OSU",3534
"393",398,"APATA IBADAN","Opp NNPC Depot Apata Ibadan",5296
"394",399,"BODIJA","42A, U/I Secretariat Road, Bodija, badan. Oyo State",7548
"395",400,"CHALLENGE","Challenge-Molete Road",6911
"396",401,"DUGBE 1","5, OBAFEMI AWOLOWO WAY, J. ALLEN, DUGBE, IBADAN",7284
"397",402,"IDI-APE JUNCTION, IWO-ROAD, IBADAN","IDI-APE JUNCTION, IWO-ROAD, IBADAN",8579
"398",403,"ISEYIN","Iseyin Town. Oyo State",2602
"399",404,"Iwo Road 1","61, IWO ROAD. OPP ARISEKOLA'S MOSQUE. IBADAN. OYO STATE",4500
"400",405,"IWO ROAD 3","81/83, Iwo Road, Ibadan. Oyo",2189
"401",406,"MOLETE","SW8/1137, Obafemi Awolowo Road, Molete, Ibadan. Oyo State",1439
"402",407,"NEW GBAGI","New Gbagi Market Complex, New Ife Road, Ibadan. Oyo State",9507
"403",408,"OGBOMOSHO","Oke Apake, Ilorin-Ogbomoso Road, Ogbomoso, Oyo State",6218
"404",409,"OYO B/O","ODO ARO QTRS, OGBOMOSHO ROAD, OYO, OYO STATE",4121
"405",410,"REGIONAL OFFICE, DUGBE","Regional Office, Lebanon Street, Dugbe, Ibadan",7773
"406",411,"SAKI B/O","Saki Business Office",4870
"407",412,"UCH, IBADAN","COLLEGE OF MEDICINE, UCH, IBADAN",4839
"408",413,"BEACH ROAD B/O","C-O 16-17 BEACH ROAD, JOS",4638
"409",414,"BOKKOS B/O","BEHIND BOKKOS LG SEC, BOKKOS",8302
"410",415,"KANAM B/O","JARMAI, KANAM LGA",2803
"411",416,"MURTALA MOHAMMED B/O","47 MURTALA MOHAMMED WAY, JOS",4780
"412",417,"PANKSHIN BO","PANKSHIN BO",1778
"413",418,"RWANG PAM B/O","JOS 3, 24/25, RWANG PAM STREET, JOS",8303
"414",419,"SHENDAM B/O","YELWA ROAD, PMB 11, SHENDAM",1314
"415",420,"Vom","Vom",1233
"416",421,"ABONNEMA","Akoko-Toru, L.G.A Abonnema. Rivers State",7870
"417",422,"AGGREY RD 1 (Hospital Road)","4, Hospital Road, Port Harcourt, Rivers State",2076
"418",423,"AGGREY RD 2","15, AGGREY ROAD Port Harcourt, Rivers State",1636
"419",424,"BONNY","New Finima Road, P.O. Box. 5 Bonny Island. Rivers State",8280
"420",425,"ELELENWON GRA II","Elelenwon Gra II",7186
"421",426,"IKWERE ROAD","73, Ikwerre Road, P/Harcourt, Rivers State",9009
"422",427,"ISIOKPO","PH-OWERRI ROAD, ISIOKPO, IKWERRE LGA, RIVERS STATE",9929
"423",428,"NAOC","NAOC, Rumueme, Port Harcourt. Rivers State.",1612
"424",429,"OIL MILL, P/H","312, P/H - Aba Road, Oil Mill. Rumukwurushi. P/Harcourt. River State",8403
"425",430,"OMOKU","73, Ahoada/Okwuzi Road, P.O Box 340, Omoku, Onelga. Rivers State",6873
"426",431,"ONNE OFFICE","C/O 14 AZIKIWE ROAD, PORT HARCOURT, RIVERS STATE",4312
"427",432,"PH IKOKU B/O","32 AZIKIWE STREET, MILE 2, DIOBU, P/HARCOURT",3218
"428",433,"PHMAIN","14, Azikiwe Road, Port Harcourt, Rivers State",2891
"429",434,"REFINERY RD.","Refinery Road, Eleme",9722
"430",435,"RIVERS STATE SECRETARIAT COMPLEX","C/O 14, Azikiwe Road, Port Harcourt. Rivers State",1428
"431",436,"RSUST","Rivers State University, Nkpolu Campus. Port Harcourt",9138
"432",437,"RUMUOKORO","Rumuokoro",4762
"433",438,"RUMUOKWUTA B/O","Rumuokwuta Office",9963
"434",439,"SHELL B/O","Shell Business Office",3961
"435",440,"SHELL INDUSTRIAL AREA, RUMUOMASI","Shell Industrial Area,Rumuomasi",2186
"436",441,"STATION RD.","Station Road, Port Harcourt",5418
"437",442,"TRANS AMADI","147, Trans Amadi Road. P/Harcourt. Rivers State",4259
"438",443,"TRANS AMADI 1","25, Trans Amadi Ind. Layout, P/H Rivers State",2681
"439",444,"Uniport Business Office","Uniport Shopping Complex, Choba, Uniport, Port Harcourt",5021
"440",445,"SOKOTO ALIYU JODI B/O","ALIYU JODI ROAD, SOKOTO",7054
"441",446,"SOKOTO KRB 1","NO 1 KANO ROAD, SOKOTO",1544
"442",447,"SOKOTO KRB 2","10, KANO ROAD, SOKOTO",7308
"443",448,"HAMMARUWA WAY BO","134, HAMMARUWA WAY , JALINGO",1426
"444",449,"HAMMARUWA WAY BO 2.","25, HAMMARUWA WAY , JALINGO",8220
"445",450,"Mayo Selbe","Mayo-Selbe Road",4067
"446",451,"MUTUN BIYU","Mutun Biyu",9435
"447",452,"SARDAUNA B/O 1","NEAR MOTOR PARK, SARDAUNA L.G.A",2612
"448",453,"SARDAUNA B/O 2","2, AHMADU BELLO WAY, SARDAUNA LGA",5565
"449",454,"TAKUM B/O","Takum Business Office",2193
"450",455,"TURAKI WARD BO","34 BaRoade Way Turaki WaRoad Jalingo",2768
"451",456,"WUKARI B/O","Wukari Business Office",2386
"452",457,"ABBA IBRAHIM B/O","10 BURKA ABBA IBRAHIM DAMATURU",4531
"453",458,"GUJBA B/O","1, KASHIM IBRAHIM WAY, GUJBA ROAD, DAMATURU",9703
"454",459,"GUSAU 1","1, GOVT. HOUSE RD S.ABACHA WAY GUSAU",588
"455",460,"UBA GUSAU 2, CANTEEN AREA","NO 2, CANTEEN AREA,GUSAU-NIGERIA",4913
